thermal_efficiency_percent,net_specific_power_kw_per_kg
32.38378153213852,22856.688793507798
32.387012259375716,22846.2635111362
32.3912512166765,22837.105201269795
32.39415409637844,22834.97448415515
32.39844749249529,22810.048585651322
32.40879895142643,22808.73864359086
32.410157318946844,22806.123817788746
32.412751164059465,22799.389456500372
32.416764673748595,22790.17137393448
32.4194671917548,22785.604031727293
32.42079827908581,22785.589927580248
32.42232185849438,22782.443593891727
32.42765297673249,22771.44192665565
32.42944733035411,22768.6875550833
32.437899620321566,22752.581247056278
32.44203750658954,22744.564454723873
32.446372385160124,22730.00380880587
32.44911102676256,22728.814723108655
32.45330352066461,22722.357808392484
32.453519422194184,22717.590031391806
32.45565482014144,22716.559297429492
32.458605462586455,22704.94875949939
32.46066206002452,22700.38088252377
32.46593855315753,22697.878385343938
32.472893576279475,22684.487420053152
32.47389160896198,22675.31075181155
32.47562468036105,22673.52504104747
32.48762649788361,22645.88104693347
32.488841688212936,22642.364686699228
32.49227839086867,22634.79871136325
32.492721895046,22630.22674900475
32.502322839385194,22624.93153095528
32.505658137337264,22621.015808251323
32.511399164232195,22610.137452457442
32.51452863408228,22602.844266185635
32.51641285950486,22600.527462467344
32.520432417641906,22584.58260159807
32.52596820533705,22581.94661231149
32.52685797945361,22554.999993803554
32.52728715730529,22551.621294759258
32.52856119219491,22551.548870237522
32.54242550414461,22549.80792471101
32.54414666847682,22545.94310490111
32.546249813826606,22537.88779662498
32.55332737987231,22526.378046523376
32.55566053659298,22523.493951595403
32.5629739782637,22504.847419041897
32.56460782229003,22503.305900124906
32.57249685727883,22490.84332394102
32.576282068473375,22483.7917299929
32.577741207045996,22480.477839496438
32.58101391285649,22473.765025695957
32.58553702703538,22465.690383378467
32.590951487867045,22452.160909188315
32.59187471407944,22447.631293201845
32.595723346858435,22444.829575256972
32.60280338598942,22431.761883535364
32.60547569914792,22425.22151070521
32.60607374565388,22424.721250461174
32.60717466979344,22423.091330378727
32.61055627586435,22413.536490373874
32.613504928337996,22408.552651312388
32.616998372606865,22402.692888969766
32.61701854308933,22401.721929790565
32.61862093787276,22398.83630315071
32.620266890208605,22397.48615753941
32.62374387957871,22389.813299336478
32.63033450915427,22377.63734268178
32.63036736249915,22368.2620641716
32.636347581254746,22360.933230574195
32.641292052658926,22355.938832591062
32.642161462629424,22349.751405793475
32.64397894312198,22348.588540366483
32.6446224641704,22348.48538296247
32.6450065796211,22347.518801371167
32.6469618973529,22342.862881943158
32.65221179199393,22332.064283710704
32.6570444505254,22323.305338213686
32.65993354188241,22317.44492286142
32.66108908422501,22304.23952905086
32.66606907749237,22303.075261083566
32.667396530523284,22302.4519473265
32.671918750753285,22295.10542431023
32.67347603520728,22292.78048179815
32.67490354764549,22287.323684735064
32.67608834824207,22283.6995329282
32.68041652269103,22276.360093790423
