crank_angle_rad,total_volume_m3,specific_volume_m3_per_kg,pressure_kpa,temperature_k,specific_internal_energy_kj_per_kg,heat_added_to_next_state_kj_per_kg,work_on_gas_to_next_state_kj_per_kg,polytropic_exponent_to_next_state
0.9686577349,8.547475097e-05,0.1776297502,1352.7678,1271.902399,1075.851784,0.5946491716,-2.805446924,1.134563178
0.9773843811,8.647932513e-05,0.1797174106,1334.953,1269.90418,1073.640986,0.356902749,-2.78112424,1.148889148
0.9861110274,8.748851626e-05,0.1818146659,1317.276668,1267.712393,1071.216764,0.11898646,-2.756478736,1.163490468
0.9948376736,8.850222379e-05,0.1839213069,1299.73826,1265.326989,1068.579272,0,-7.407850185,1.170980162
1.018690507,9.129525639e-05,0.1897256605,1253.298912,1258.6227,1061.171422,0,-7.224824359,1.171148517
1.04254334,9.411921461e-05,0.1955942824,1209.373009,1252.077616,1053.946598,0,-7.045322148,1.171315436
1.066396173,9.697202758e-05,0.2015228689,1167.805295,1245.68892,1046.901276,0,-6.869422569,1.171480854
1.090249006,9.985161941e-05,0.207507106,1128.450507,1239.453716,1040.031853,0,-6.697176454,1.171644713
1.114101839,0.0001027559115,0.213542674,1091.17283,1233.369046,1033.334677,0,-6.528610774,1.171806958
1.137954672,0.0001056828247,0.2196252522,1055.845359,1227.431919,1026.806066,0,-6.363732372,1.171967536
1.161807505,0.0001086302816,0.2257505236,1022.349558,1221.639324,1020.442333,0,-6.202531201,1.172126401
1.185660339,0.0001115962089,0.2319141792,990.5747435,1215.988246,1014.239802,0,-6.044983112,1.17228351
1.209513172,0.0001145785394,0.2381119231,960.4175829,1210.475682,1008.194819,0,-5.891052263,1.172438821
1.233366005,0.0001175752141,0.2443394765,931.781613,1205.098649,1002.303767,0,-5.740693185,1.172592297
1.257218838,0.0001205841844,0.2505925821,904.5767846,1199.854191,996.5630736,0,-5.593852566,1.172743905
1.281071671,0.0001236034141,0.2568670083,878.7190293,1194.739392,990.969221,0,-5.450470772,1.172893612
1.304924504,0.0001266308814,0.2631585536,854.1298526,1189.751377,985.5187503,0,-5.310483154,1.173041391
1.328777337,0.0001296645809,0.2694630503,830.7359505,1184.887318,980.2082671,0,-5.17382116,1.173187216
