algorithm,display_name,framework,run,seed,evaluations,fixed_cardinality_limit,front_size_before_hv48,front_size_hv48,was_truncated_for_hv48,hypervolume_raw,hypervolume_48,runtime_seconds,hv48_compromise_score,hv48_compromise_thermal_efficiency_percent,hv48_compromise_net_specific_power_kw_per_kg,hv48_compromise_engine_speed_rpm,hv48_compromise_ignition_timing_degrees,hv48_compromise_compression_ratio,hv48_compromise_connecting_rod_to_crank_ratio,is_hv48_representative_run
NSGA-III,NSGA-III,DEAP,20,20270738,4848,48,48,48,False,0.8448418387148673,0.8448418387148673,23.549113600001878,0.4013675529362663,35.20977438378384,16344.01853937995,5570.277739776939,-39.23050749039763,11.997419178081245,4.39514816240586,False
NSGA-III,NSGA-III,DEAP,21,20270739,4848,48,48,48,False,0.8452023270347188,0.8452023270347186,23.284183600000688,0.39847681917569455,35.558448566508915,15426.911680326964,5206.15908811847,-37.72320755833261,11.9998993381049,4.3997724971253,True
MOPSO,MOPSO adaptado,NumPy + Pareto repository,1,20280719,4848,48,192,48,True,0.8470848093466685,0.8457691979267202,25.206367499999036,0.40094055017141594,35.46873778603685,15564.311634594202,5265.812974282321,-36.63183936333614,11.980196452439817,4.317558286802169,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,2,20280720,4848,48,192,48,True,0.8466014367858504,0.8452580171625645,24.10510559999966,0.4021557824950329,35.536857349001856,15319.673990670794,5173.110443690177,-37.01587104134158,11.963524116999045,4.180244939357319,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,3,20280721,4848,48,192,48,True,0.8465762942420109,0.8452509965708854,25.518856500002585,0.4020327922352071,35.530496234795514,15342.52330926053,5181.75368265261,-35.99481927840178,11.970676124488136,4.242464703875666,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,4,20280722,4848,48,192,48,True,0.8447415694307382,0.8435173508620654,23.172155000000203,0.4020957291103579,35.4120639971144,15674.467392791015,5311.568643070884,-38.70829500929466,11.970231965303642,4.19382264900356,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,5,20280723,4848,48,192,48,True,0.8455989106342661,0.8443228630260667,23.286960700002965,0.4021159648393552,35.72493940961119,14838.88688608128,4984.379136135625,-35.10506174929033,11.996408842142545,4.089082022102001,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,6,20280724,4848,48,191,48,True,0.8457740483500624,0.8445566766825798,26.81887519999873,0.4045686117908371,35.2115749502966,16178.864017121216,5513.708730140717,-39.746952934759136,12.0,3.9234073198806185,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,7,20280725,4848,48,192,48,True,0.8461316781585895,0.8448314952122061,27.47336720000021,0.40176966003021086,35.46895163665935,15525.573774445533,5252.675275036513,-37.17619746769559,12.0,4.001183607134049,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,8,20280726,4848,48,192,48,True,0.8456305023351657,0.844263558552079,21.870566000001418,0.4012806158413256,35.51713344269392,15413.20946761932,5207.585626521864,-37.0610299023421,11.975029518204176,4.214313102696194,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,9,20280727,4848,48,192,48,True,0.8463785249903134,0.8450094577909244,22.737017999999807,0.4016786313173895,35.41288846580278,15691.523780703854,5317.224703381103,-39.54533228422531,11.985320575813866,4.236756502766518,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,10,20280728,4848,48,192,48,True,0.8460050934986414,0.8447789559444535,27.470238099998824,0.40061824338447044,35.50952550048319,15464.380889499347,5225.994097596911,-36.86811876415528,11.986591882416912,4.237749898273708,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,11,20280729,4848,48,192,48,True,0.84713872090452,0.8457894705855356,26.64359719999993,0.4001200054104016,35.637506073294475,15144.299910288102,5099.447715272104,-38.0260698779452,12.0,4.334434878930884,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,12,20280730,4848,48,192,48,True,0.8453024259252984,0.8439392245216941,23.413640800001303,0.40231513385641304,35.29322641100398,16025.736203325225,5448.887902749046,-39.13647618126754,11.997119182753842,4.088350035055737,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,13,20280731,4848,48,192,48,True,0.845175708723903,0.8439067005776808,22.985016300001007,0.40221551152709795,35.30620637152953,15989.70383382203,5434.63786470673,-37.76309245131527,11.995261193701504,4.187435656211486,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,14,20280732,4848,48,192,48,True,0.8442871041867742,0.8429907124121432,22.38994929999899,0.4015970009273523,35.64328574389229,15064.496136541866,5071.753343320184,-35.73208652971508,11.998016680600012,4.068963037009688,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,15,20280733,4848,48,192,48,True,0.8453828566141517,0.8440419591820837,22.243979000002582,0.4014143769763552,35.55829689153551,15295.121058136512,5161.705389251343,-38.092507876458654,11.97823263793505,4.235550760976092,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,16,20280734,4848,48,192,48,True,0.8456852683057566,0.8443307889757838,25.486947299999883,0.4018976110202208,35.556529558224724,15278.1853276024,5156.246298756682,-36.54539158608408,11.984249190243798,4.080005378683159,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,17,20280735,4848,48,192,48,True,0.8461266196066245,0.8447414034570588,21.92144090000147,0.4030086325236474,35.44407635479275,15539.364657374954,5261.030757916328,-35.78557523483457,11.998185240894204,4.095487736977068,True
MOPSO,MOPSO adaptado,NumPy + Pareto repository,18,20280736,4848,48,192,48,True,0.8463513625690892,0.8450135130475114,22.365606199997277,0.40276119988208287,35.38825989804624,15713.52569169201,5328.38599138678,-37.00918462226328,11.990775618371432,4.062594742180691,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,19,20280737,4848,48,192,48,True,0.846267280748753,0.8449961174944198,22.30826050000178,0.4011920961432091,35.59232654170294,15214.504673039952,5129.5903869211925,-35.34604695140945,11.986218282235688,4.303156795316392,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,20,20280738,4848,48,192,48,True,0.8456407939325792,0.8442885761731551,22.050954599999383,0.4025228831469542,35.438332129833775,15578.30113081512,5275.06805018079,-36.82937539082116,11.968722064348444,4.1851236947851,False
MOPSO,MOPSO adaptado,NumPy + Pareto repository,21,20280739,4848,48,192,48,True,0.8464769844584927,0.8451133544107565,22.1558045999991,0.3999660662980252,35.64974478613493,15119.6630511999,5089.404081371257,-36.28365591152184,12.0,4.233278528009685,False
MOEA/D,MOEA/D,pymoo,1,20290719,4848,48,48,48,False,0.8395228433826623,0.839522843382662,140.75840479999897,0.3985636215938983,35.48530175644708,15626.593954467404,5284.416876053189,-38.32266816132778,11.999949929451084,4.399685899626273,False
MOEA/D,MOEA/D,pymoo,2,20290720,4848,48,45,45,False,0.8346086643182481,0.8346086643182485,141.96064249999836,0.398950892104121,35.68338920305224,15078.77319227803,5070.854600657127,-36.78352823801032,11.99994311665921,4.398841996879194,False
MOEA/D,MOEA/D,pymoo,3,20290721,4848,48,48,48,False,0.8408887668366659,0.8408887668366658,144.792881399997,0.3989827040294438,35.61368704703906,15256.581165544016,5140.69137926424,-37.86593921892776,11.999987358850587,4.399819691734136,False
MOEA/D,MOEA/D,pymoo,4,20290722,4848,48,48,48,False,0.8321602169829345,0.8321602169829345,142.0487871999976,0.4018094671938452,35.87564980771509,14502.187604113507,4850.818094782985,-35.588133399422645,11.99998901304868,4.342283545291771,False
MOEA/D,MOEA/D,pymoo,5,20290723,4848,48,48,48,False,0.843696281311292,0.8436962813112917,136.23009540000203,0.39853306310364356,35.52125718386253,15526.75310639556,5245.339046203388,-38.00725042725665,11.99975228843999,4.394234119408685,False
MOEA/D,MOEA/D,pymoo,6,20290724,4848,48,48,48,False,0.8413349412051834,0.8413349412051836,143.48365390000254,0.39865035892389855,35.47669618600597,15647.15859686228,5292.654709950498,-37.64258305066247,11.998982184314915,4.39903631695984,True
MOEA/D,MOEA/D,pymoo,7,20290725,4848,48,48,48,False,0.8435307431997111,0.843530743199711,138.40883940000276,0.3997850381418072,35.36429004322607,15926.39793231696,5404.230509200096,-38.43102254876949,11.9999958946706,4.32151071586311,False
MOEA/D,MOEA/D,pymoo,8,20290726,4848,48,48,48,False,0.8439419158839608,0.843941915883961,135.11226779999924,0.3989424884432533,35.66252827449621,15131.989950469955,5091.727597325112,-36.011844702911105,11.999825984474894,4.399723651084482,False
