algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise
NSGA-III,DEAP,1,20270719,17,4516.004070542613,-31.872214888013048,11.999981781597826,4.395123076895291,36.178119818190915,13615.044696960713,0.4087263101832877,False
NSGA-III,DEAP,1,20270719,18,4673.3618211431585,-35.30578970645465,11.99999095121241,4.399308041539298,36.02126024258158,14028.365197261892,0.40586371224610623,False
NSGA-III,DEAP,1,20270719,19,4826.352414452333,-34.15664362754953,11.999921425517874,4.399544508080284,35.90437321667647,14440.596530308681,0.4017702718819147,False
NSGA-III,DEAP,1,20270719,20,4896.407382839916,-34.15664362754953,11.999971292294857,4.397178668391957,35.834929067942994,14621.867604318399,0.4011392692348937,False
NSGA-III,DEAP,1,20270719,21,5091.201491297253,-35.926329941803345,11.999920508246648,3.874482978466722,35.60403910405744,15105.611415231915,0.40295580760039507,False
NSGA-III,DEAP,1,20270719,22,5101.953024889122,-35.926329941803345,11.999920374930735,3.8803988424862985,35.593915328689555,15133.206998237913,0.40292813696768454,False
NSGA-III,DEAP,1,20270719,23,5299.6094700676485,-37.45478683745219,11.999977126813329,4.345766343577882,35.463736038547125,15661.99594615531,0.3991341312462237,True
NSGA-III,DEAP,1,20270719,24,5410.49423724078,-39.4496982771811,11.999959005907217,4.394613777120815,35.36472891563727,15945.055166636488,0.3993652339299287,False
NSGA-III,DEAP,1,20270719,25,5514.46427112752,-41.4218706697815,11.9998793708593,4.399059807631992,35.24578780357105,16196.803129211223,0.40193225797906273,False
NSGA-III,DEAP,1,20270719,26,5694.5295733700295,-39.856819998635515,11.999972978313156,4.394534268879415,35.089809518618424,16651.663168974475,0.40351214179266953,False
NSGA-III,DEAP,1,20270719,27,5862.807789079487,-41.4218706697815,11.9998793708593,4.399059807631992,34.93186787612857,17066.568922605176,0.40689826129436873,False
NSGA-III,DEAP,1,20270719,28,6202.237019476493,-45.623104070083315,11.999682929101539,4.399224773479446,34.593052123728526,17879.525708205743,0.4182069505281326,False
NSGA-III,DEAP,1,20270719,29,6252.405061948191,-45.623104070083315,11.99999648010111,4.399224773479446,34.54820395288928,18000.780439688624,0.41974043599576216,False
NSGA-III,DEAP,1,20270719,30,6469.16059138303,-46.19198606873189,11.999974268284218,4.398340935978716,34.336752306517525,18510.830404783625,0.4287104640640906,False
NSGA-III,DEAP,1,20270719,31,6536.46338557593,-46.19198606873189,11.945720249236999,4.398340935978716,34.226305690923574,18643.249497687582,0.4357133812698919,False
NSGA-III,DEAP,1,20270719,32,6692.7632231810585,-46.88237508568625,11.999980164656565,4.39868539912419,34.106695128671326,19022.33623511834,0.4403742180776508,False
NSGA-III,DEAP,1,20270719,33,6843.727394150523,-47.328770344202425,11.999992343860047,4.399724723173482,33.94533195081769,19359.383181278663,0.44952588233454926,False
NSGA-III,DEAP,1,20270719,34,7012.6244160427605,-52.645253061123796,11.999985352394196,4.394467735207808,33.75315713249849,19724.851152157225,0.4614793398081928,False
NSGA-III,DEAP,1,20270719,35,7137.520409486143,-52.645253061123796,11.999985352394196,4.394467735207808,33.64654188146437,20012.739948965187,0.4674827702387964,False
NSGA-III,DEAP,1,20270719,36,7306.120869957075,-52.97910635925294,11.99999606224435,4.398369254896162,33.486213054599865,20387.860004503433,0.4775721454574483,False
NSGA-III,DEAP,1,20270719,37,7485.559348667284,-55.38276275667913,11.99998414340077,4.397067145475064,33.285712380410054,20763.514623852403,0.4916541848956649,False
NSGA-III,DEAP,1,20270719,38,7703.518233604265,-53.8257949928021,11.999988916742952,4.399537394080264,33.07454767088981,21232.531754242762,0.506488455381087,False
NSGA-III,DEAP,1,20270719,39,7801.517988535479,-51.56205646938916,11.999989892957977,4.36436227325755,32.8898572292376,21382.567734521737,0.5217729248303236,False
NSGA-III,DEAP,1,20270719,40,8118.885803118461,-56.70067366432338,11.999994408105447,4.3990305374833705,32.645070483081376,22086.79994057425,0.5391865329906846,False
NSGA-III,DEAP,1,20270719,41,8300.727728681282,-59.939887974018205,11.999998297362806,4.266304987234148,32.43588805596808,22436.789615881353,0.5561560246969842,False
NSGA-III,DEAP,1,20270719,42,8542.446838158405,-59.939887974018205,11.999998223784742,4.399238808818355,32.2085707211937,22928.33359323854,0.5745042222288693,False
NSGA-III,DEAP,1,20270719,43,8812.644622009144,-61.733088184621714,11.999994298605055,4.398669864095393,31.927028017424178,23446.795979540704,0.5982121345598008,False
NSGA-III,DEAP,1,20270719,44,8970.088639095411,-65.78845878022551,11.999866310329601,4.398644078739366,31.750743507298196,23733.91530147066,0.6134313037234991,False
NSGA-III,DEAP,1,20270719,45,9218.427606033145,-65.95368167693857,11.99987218467876,4.398738849882748,31.508658854633676,24205.024217886315,0.6344384347305847,False
NSGA-III,DEAP,1,20270719,46,9481.296390121895,-66.92280039576721,11.99986377822938,4.395663987269362,31.235033355279292,24679.050749728878,0.6586916526648583,False
NSGA-III,DEAP,1,20270719,47,9719.583008524105,-72.26238666829003,11.999865317472056,4.399548239376852,30.948829435938897,25067.476393271867,0.6844870420812789,False
NSGA-III,DEAP,1,20270719,48,9996.875857366284,-71.41666424831354,11.999982858825772,4.393453022936738,30.700548453068983,25575.797636532425,0.7070172561065318,False
MOPSO,PySwarm + Pareto repository,1,20280719,1,500.0,-3.2816471423224414,11.95422002661259,4.075239423933465,38.38672474084536,1599.4468642018896,0.7071811502547419,False
MOPSO,PySwarm + Pareto repository,1,20280719,2,647.8360706281616,-3.1125376543837433,11.964095138386076,4.098795032853009,38.34466388746728,2070.0880318678637,0.6933388707198059,False
MOPSO,PySwarm + Pareto repository,1,20280719,3,832.218393260804,-6.5447737475570165,11.962569410316558,4.255385041083191,38.335346838379095,2658.615062577624,0.6759978621233027,False
MOPSO,PySwarm + Pareto repository,1,20280719,4,856.5457170111686,-5.81884172523074,11.95400778443598,4.197066300019728,38.32248846951544,2735.413613647778,0.6737503604779973,False
MOPSO,PySwarm + Pareto repository,1,20280719,5,1016.6905335795531,-6.272975704233488,11.946447729871956,4.075577925904642,38.262367232561914,3241.748879807515,0.6589304143679987,False
MOPSO,PySwarm + Pareto repository,1,20280719,6,1137.7664116260428,-6.665907889976438,11.980451350505552,4.094254073094172,38.24627509596454,3626.2772644998386,0.6476329380439504,False
