configuration_id,run,seed,generation,evaluations,hypervolume
C01,5,31000005,24,300,0.8236674608753892
C01,5,31000005,25,312,0.8237461657938466
C01,5,31000005,26,324,0.8254554664760653
C01,5,31000005,27,336,0.8287307102621367
C01,5,31000005,28,348,0.8287945354572993
C01,5,31000005,29,360,0.8287945354572993
C01,5,31000005,30,372,0.8288045169094341
C01,5,31000005,31,384,0.8290948535906207
C01,5,31000005,32,396,0.8289516966280831
C01,5,31000005,33,408,0.8310619097264381
C01,5,31000005,34,420,0.8311896880767764
C01,5,31000005,35,432,0.83136169356816
C01,5,31000005,36,444,0.8329841280639051
C01,5,31000005,37,456,0.8358327349468913
C01,5,31000005,38,468,0.8359745702713387
C01,5,31000005,39,480,0.8359300625099765
C01,5,31000005,40,492,0.8359306883657005
C01,5,31000005,41,504,0.8366300646555158
C01,6,31000006,0,12,0.6362035540994887
C01,6,31000006,1,24,0.6389145873267034
C01,6,31000006,2,36,0.6419750029712723
C01,6,31000006,3,48,0.6847721006985572
C01,6,31000006,4,60,0.745729965355872
C01,6,31000006,5,72,0.7447637717729338
C01,6,31000006,6,84,0.814146709445672
C01,6,31000006,7,96,0.8142538946227429
C01,6,31000006,8,108,0.8173445931356033
C01,6,31000006,9,120,0.8183126603152641
C01,6,31000006,10,132,0.8180297596341208
C01,6,31000006,11,144,0.824678063079763
C01,6,31000006,12,156,0.8246892788109376
C01,6,31000006,13,168,0.8254058870591513
C01,6,31000006,14,180,0.8255458939307759
C01,6,31000006,15,192,0.8255464818827049
C01,6,31000006,16,204,0.8255165440413743
C01,6,31000006,17,216,0.8266573568505194
C01,6,31000006,18,228,0.8277236949089442
C01,6,31000006,19,240,0.82772792604356
C01,6,31000006,20,252,0.8279376419573672
C01,6,31000006,21,264,0.8278973412475331
C01,6,31000006,22,276,0.827944462061564
C01,6,31000006,23,288,0.8279254784410509
C01,6,31000006,24,300,0.8294367138052597
C01,6,31000006,25,312,0.8300880739545387
C01,6,31000006,26,324,0.8298999110897789
C01,6,31000006,27,336,0.8301415203319662
C01,6,31000006,28,348,0.8307471471978942
C01,6,31000006,29,360,0.8307396410043575
C01,6,31000006,30,372,0.8305064123402578
C01,6,31000006,31,384,0.8302020564083353
C01,6,31000006,32,396,0.830446189833671
C01,6,31000006,33,408,0.8304194751973101
C01,6,31000006,34,420,0.8321882986569744
C01,6,31000006,35,432,0.8319033690001368
C01,6,31000006,36,444,0.832012105593211
C01,6,31000006,37,456,0.8322118943501319
C01,6,31000006,38,468,0.8322608806435355
C01,6,31000006,39,480,0.8320179693597785
C01,6,31000006,40,492,0.8321091875920273
C01,6,31000006,41,504,0.8327390076277795
C01,7,31000007,0,12,0.7748752306266721
C01,7,31000007,1,24,0.7748752306266721
C01,7,31000007,2,36,0.7798207527599291
C01,7,31000007,3,48,0.7823102429434068
C01,7,31000007,4,60,0.7875351805219292
C01,7,31000007,5,72,0.7882204301167288
C01,7,31000007,6,84,0.7894941202650226
C01,7,31000007,7,96,0.7918683806554426
C01,7,31000007,8,108,0.7926092898903409
C01,7,31000007,9,120,0.7927703184031308
C01,7,31000007,10,132,0.7922951889812804
C01,7,31000007,11,144,0.7951506821914663
C01,7,31000007,12,156,0.7954070551711738
C01,7,31000007,13,168,0.7954335523300501
C01,7,31000007,14,180,0.7946919338262027
C01,7,31000007,15,192,0.7941464741637743
C01,7,31000007,16,204,0.800448946116174
C01,7,31000007,17,216,0.8005616700472484
C01,7,31000007,18,228,0.7995652108923648
C01,7,31000007,19,240,0.8015089642066814
C01,7,31000007,20,252,0.8016661077579608
C01,7,31000007,21,264,0.8066419334964505
C01,7,31000007,22,276,0.8066079064847925
C01,7,31000007,23,288,0.8075397630813517
C01,7,31000007,24,300,0.8287668874680989
C01,7,31000007,25,312,0.828832179002236
C01,7,31000007,26,324,0.8290042702273108
C01,7,31000007,27,336,0.8298710013382811
