configuration_id,population_size,generations,crossover_probability,crossover_eta,mutation_eta,mutation_probability_per_variable,reference_partitions,nominal_evaluations,stage,is_baseline,is_confirmed,run,seed,evaluations,front_size,hypervolume,igd_plus,spacing,runtime_seconds,maximum_efficiency_percent,maximum_power_kw_per_kg,compromise_engine_speed_rpm,compromise_ignition_timing_degrees,compromise_efficiency_percent,compromise_power_kw_per_kg,compromise_score
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,1,31000001,504,10,0.8281675637247107,0.01968406043642463,0.046563774361924284,11.11202609911561,37.03688809217946,25668.288662020324,5159.7918416601315,-35.66044494304492,35.640590141350785,15324.835520274524,0.39950878368347187
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,2,31000002,504,9,0.8094156342925068,0.021622031333811974,0.18407629306408366,11.714800599962473,38.430564137204236,25393.47655929384,5868.094169360456,-40.50734637686949,34.97600131924109,17103.53911741519,0.4078183080248634
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,3,31000003,504,11,0.8292194954644667,0.011715250667423377,0.058253606146111324,9.623842699453235,38.096811154859225,25317.29755676793,4968.6662529742125,-35.34180158563893,35.82693168016548,14834.338865570911,0.39989557660982994
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,4,31000004,504,12,0.8101443565878694,0.03715508373678004,0.06718628056619652,9.288233699277043,38.1945295062035,25279.022466589617,5197.257156192267,-35.94011238658901,35.60673706811173,15421.447419658343,0.399408292071209
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,5,31000005,504,12,0.8322002159150335,0.01118339019399499,0.02536977121418811,11.319079000502825,38.06598893005941,25389.55020231313,4760.5169470100755,-30.56291532924992,35.909616500807786,14245.694826060677,0.409361617071397
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,6,31000006,504,10,0.8027863675906382,0.015678713535896963,0.026531477582870947,9.59180710092187,36.83263196483226,24627.904695763365,5096.012751579115,-34.708213217421246,35.68631761580182,15154.827468919037,0.4006102067010462
C05,12,41,0.9,10.0,40.0,0.25,11,504,screening,False,False,7,31000007,504,11,0.8377758917844665,0.012487879537571802,0.07961885227989143,8.735188601538539,38.14924326853276,25666.121739134498,4949.402385649963,-34.70645398316334,35.83950107240773,14782.009342356603,0.4004188139635714
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,1,31000001,504,34,0.8427931749088413,0.005041801782122548,0.01167127282838583,9.284947000443935,37.64053976227262,25624.621012012245,5037.565947946427,-34.485028754502636,35.74409417991075,15005.269306742373,0.40064908914518577
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,2,31000002,504,35,0.8351656736791168,0.0046122687768214085,0.030173727189544603,8.920385399833322,38.40490096272377,25271.104320675408,5201.32101172242,-38.5646652692037,35.60707373205418,15433.651730706908,0.3991174914916183
C06,36,13,1.0,20.0,20.0,0.25,35,504,screening,False,False,3,31000003,504,34,0.8445386662959731,0.004730846473923831,0.014446324134209942,9.032787999138236,37.88385602608686,25609.944952903686,4840.3314297899915,-35.725407349325366,35.93623308552411,14495.27320601011,0.4019423155517063
