algorithm,framework,run,seed,solution,engine_speed_rpm,ignition_timing_degrees,compression_ratio,connecting_rod_to_crank_ratio,thermal_efficiency_percent,net_specific_power_kw_per_kg,compromise_score,is_run_compromise,front_size_before_hv48,fixed_cardinality_limit,hv48_solution,scaled_minimization_efficiency,scaled_minimization_power,hv48_compromise_score,is_hv48_run_compromise
MOPSO,PySwarm + Pareto repository,4,20280722,110,6360.975821870083,-45.744655605726464,11.96445746934534,4.111338390886584,34.37697863174093,18222.594158787382,0.4297298081699789,False,192,48,29,-0.8594244657935233,-0.6749108947699031,0.4297298081699789,False
MOPSO,PySwarm + Pareto repository,4,20280722,113,6517.318015883678,-46.345482936002014,11.962800485588204,4.118227809984483,34.219522281965794,18584.95908859905,0.4370697841929665,False,192,48,30,-0.8554880570491449,-0.6883318180962611,0.43706978419296655,False
MOPSO,PySwarm + Pareto repository,4,20280722,118,6723.443370985844,-46.79580871067364,11.988193343228414,3.892156696719982,33.982584799235354,19039.99870811527,0.4503718295324793,False,192,48,31,-0.8495646199808838,-0.7051851373376026,0.45037182953247934,False
MOPSO,PySwarm + Pareto repository,4,20280722,123,6960.419163148217,-50.73603201651751,11.997117781236255,4.158889373823211,33.79743486212669,19603.692773300023,0.4590880605090641,False,192,48,32,-0.8449358715531673,-0.7260626953074083,0.4590880605090641,False
MOPSO,PySwarm + Pareto repository,4,20280722,128,7178.891726604003,-50.46887213810452,12.0,4.1129726720945765,33.569478254430344,20082.63747559525,0.4733755418987175,False,192,48,33,-0.8392369563607586,-0.7438013879850093,0.4733755418987175,False
MOPSO,PySwarm + Pareto repository,4,20280722,132,7304.649958554284,-53.88925828068744,11.99388677134752,4.180197974743223,33.43528146835919,20352.75228267507,0.4823148191115867,False,192,48,34,-0.8358820367089799,-0.7538056400990766,0.48231481911158675,False
MOPSO,PySwarm + Pareto repository,4,20280722,137,7521.632239384031,-54.120229993811975,11.99563514110906,4.079709888721751,33.20940573216844,20815.744733821917,0.4978998419477677,False,192,48,35,-0.830235143304211,-0.770953508660071,0.4978998419477677,False
MOPSO,PySwarm + Pareto repository,4,20280722,140,7656.538071331749,-55.38637655816072,11.984110214145586,4.251540115299309,33.09068246894318,21113.33917748446,0.5059655899963543,False,192,48,36,-0.8272670617235794,-0.7819755250920171,0.5059655899963543,False
MOPSO,PySwarm + Pareto repository,4,20280722,144,7827.343529225509,-55.9293300366773,12.0,4.136853397508326,32.906819563139486,21464.415097910936,0.5196973900401727,False,192,48,37,-0.8226704890784872,-0.7949783369596644,0.5196973900401727,False
MOPSO,PySwarm + Pareto repository,4,20280722,150,8057.973979778623,-57.81841841872316,11.991165854315009,4.065089667484556,32.64588907178844,21921.64372393421,0.5400653932286922,False,192,48,38,-0.816147226794711,-0.8119127305160818,0.5400653932286922,False
MOPSO,PySwarm + Pareto repository,4,20280722,154,8228.619517438376,-55.24170835334911,12.0,4.194848223641258,32.44548490643771,22248.4625294888,0.5562455663728655,False,192,48,39,-0.8111371226609428,-0.8240171307218074,0.5562455663728655,False
MOPSO,PySwarm + Pareto repository,4,20280722,160,8481.732572526911,-59.58428898953488,11.96403302291548,4.244304107779731,32.218760565110394,22772.575910961863,0.574226073807334,False,192,48,40,-0.8054690141277598,-0.8434287374430319,0.574226073807334,False
MOPSO,PySwarm + Pareto repository,4,20280722,165,8662.777360992026,-61.91725260256819,11.9614783758215,3.931762033651562,31.96444792487494,23075.074653351265,0.5960704451471092,False,192,48,41,-0.7991111981218735,-0.8546323945685653,0.5960704451471092,False
MOPSO,PySwarm + Pareto repository,4,20280722,169,8828.918961416804,-62.63357702213278,12.0,3.970328617354165,31.824763161019405,23414.854576243604,0.6076088445129431,False,192,48,42,-0.7956190790254851,-0.8672168361571705,0.6076088445129431,False
